FileName      Object  Filter
WR125_J_0_5s_D1_001.fits WR125 J
WR125_H_0_1s_D1_001.fits WR125 H
WR125_K_0_1s_D1_001.fits WR125 K
Flat_J_5s_D1_001.fits flat J
Dark_0_1s_001.fits dark BLOCK

