date_time: 2023-01-21T01:32:46.000, MJD: 59964.835547087, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.721379, azimuth: -77.322684, rotator: 105.767720, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:47.000, MJD: 59964.835558912, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.717819, azimuth: -77.321363, rotator: 105.768635, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:47.000, MJD: 59964.835567815, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.715040, azimuth: -77.320275, rotator: 105.769540, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:48.000, MJD: 59964.835577729, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.712154, azimuth: -77.319077, rotator: 105.770423, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:49.000, MJD: 59964.835586648, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.709369, azimuth: -77.317928, rotator: 105.771194, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:50.000, MJD: 59964.835595620, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.706353, azimuth: -77.316881, rotator: 105.771986, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:51.000, MJD: 59964.835607107, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.703568, azimuth: -77.315886, rotator: 105.772872, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:52.000, MJD: 59964.835617407, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.700922, azimuth: -77.314603, rotator: 105.773633, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:53.000, MJD: 59964.835627663, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.696885, azimuth: -77.313063, rotator: 105.774843, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:53.000, MJD: 59964.835636482, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.693323, azimuth: -77.311901, rotator: 105.775807, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:54.000, MJD: 59964.835647695, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.690795, azimuth: -77.310702, rotator: 105.776586, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:55.000, MJD: 59964.835660495, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.686912, azimuth: -77.309164, rotator: 105.777877, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:56.000, MJD: 59964.835669593, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.683890, azimuth: -77.308294, rotator: 105.778593, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:57.000, MJD: 59964.835677597, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.680817, azimuth: -77.306851, rotator: 105.779460, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:58.000, MJD: 59964.835687863, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.677953, azimuth: -77.306137, rotator: 105.780202, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:32:59.000, MJD: 59964.835699652, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.674653, azimuth: -77.304779, rotator: 105.781160, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:00.000, MJD: 59964.835709750, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.671857, azimuth: -77.303438, rotator: 105.782175, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:00.000, MJD: 59964.835717402, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.668560, azimuth: -77.302564, rotator: 105.782754, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:01.000, MJD: 59964.835727473, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.666204, azimuth: -77.301371, rotator: 105.783522, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:02.000, MJD: 59964.835739310, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.662935, azimuth: -77.300021, rotator: 105.784669, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:03.000, MJD: 59964.835748126, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.659612, azimuth: -77.298962, rotator: 105.785400, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:04.000, MJD: 59964.835758267, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.657098, azimuth: -77.298092, rotator: 105.786190, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:05.000, MJD: 59964.835768602, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.653692, azimuth: -77.296898, rotator: 105.787137, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:05.000, MJD: 59964.835776484, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.650137, azimuth: -77.295357, rotator: 105.788225, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:06.000, MJD: 59964.835788720, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.474, altitude: 42.648119, azimuth: -77.294385, rotator: 105.788997, temperature: 3.2, humidity: 21.0
date_time: 2023-01-21T01:33:07.000, MJD: 59964.835798663, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.644495, azimuth: -77.293191, rotator: 105.790127, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:33:08.000, MJD: 59964.835810070, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.641188, azimuth: -77.291752, rotator: 105.790998, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:33:09.000, MJD: 59964.835816417, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.639174, azimuth: -77.290981, rotator: 105.791473, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:33:10.000, MJD: 59964.835826327, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.636636, azimuth: -77.290108, rotator: 105.792229, temperature: 3.2, humidity: 21.2
date_time: 2023-01-21T01:33:10.000, MJD: 59964.835833695, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.632979, azimuth: -77.288724, rotator: 105.793238, temperature: 3.2, humidity: 21.2
date_time: 2023-01-21T01:33:11.000, MJD: 59964.835845358, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.629699, azimuth: -77.287560, rotator: 105.794140, temperature: 3.2, humidity: 21.2
date_time: 2023-01-21T01:33:12.000, MJD: 59964.835854709, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.475, altitude: 42.626910, azimuth: -77.286602, rotator: 105.794835, temperature: 3.2, humidity: 21.2
