S-2020APXX-2020-06-07T19:34:37.000-DFOT-2K_IMG1.fits 238.9197093538735 11.177905881445296 V 	 astrometry successful
S-2020APXX-2020-06-07T19:18:51.000-DFOT-2K_IMG1.fits 238.9239844025032 11.17916792547944 V 	 astrometry successful
S-2020APXX-2020-06-07T19:28:49.000-DFOT-2K_IMG1.fits 238.92139272707152 11.178425086504806 V 	 astrometry successful
S-2020APXX-2020-06-07T17:48:14.128-DFOT-2K_IMG1.fits 185.36693237426613 28.22057194924368 R 	 astrometry successful
S-2020APXX-2020-06-07T19:44:45.000-DFOT-2K_IMG1.fits 238.91700643320246 11.177146008381765 V 	 astrometry successful
S-2020APXX-2020-06-07T16:17:49.000-DFOT-2K_IMG1.fits 185.3719400723715 28.231774126299797 R 	 astrometry successful
S-2020APXX-2020-06-07T15:58:53.000-DFOT-2K_IMG1.fits 185.37305173009443 28.218073510180282 V 	 astrometry successful
S-2020APXX-2020-06-07T16:13:28.000-DFOT-2K_IMG1.fits 185.37314847275323 28.23231197458582 V 	 astrometry successful
S-2020APXX-2020-06-07T18:22:27.000-DFOT-2K_IMG1.fits 238.93157521019214 11.183409231414881 B 	 astrometry successful
S-2020APXX-2020-06-07T18:10:33.000-DFOT-2K_IMG1.fits 238.93175321310332 11.18438724786734 I 	 astrometry successful
S-2020APXX-2020-06-07T18:28:57.000-DFOT-2K_IMG1.fits 238.9317026481956 11.18274038339978 R 	 astrometry successful
S-2020APXX-2020-06-07T18:49:28.000-DFOT-2K_IMG1.fits 238.93116632165916 11.181258332205926 R 	 astrometry successful
S-2020APXX-2020-06-07T19:01:21.000-DFOT-2K_IMG1.fits 238.9289236542435 11.18033610501671 R 	 astrometry successful
S-2020APXX-2020-06-07T19:11:31.000-DFOT-2K_IMG1.fits 238.92598296274068 11.179602469905191 R 	 astrometry successful
S-2020APXX-2020-06-07T19:59:42.000-DFOT-2K_IMG1.fits 238.91296022078058 11.175928371333924 V 	 astrometry successful
S-2020APXX-2020-06-07T19:21:36.000-DFOT-2K_IMG1.fits 238.9233099225976 11.178817353350121 R 	 astrometry successful
S-2020APXX-2020-06-07T19:32:17.000-DFOT-2K_IMG1.fits 238.92043500300994 11.17800480553729 R 	 astrometry successful
S-2020APXX-2020-06-07T18:32:41.000-DFOT-2K_IMG1.fits 238.931644015452 11.182554459294279 V 	 astrometry successful
S-2020APXX-2020-06-07T19:42:24.000-DFOT-2K_IMG1.fits 238.91780479800678 11.17724580610777 R 	 astrometry successful
S-2020APXX-2020-06-07T19:52:25.000-DFOT-2K_IMG1.fits 238.91518075446854 11.17642059913071 R 	 astrometry successful
S-2020APXX-2020-06-07T18:39:49.000-DFOT-2K_IMG1.fits 238.9316799504939 11.182043842321908 V 	 astrometry successful
S-2020APXX-2020-06-07T20:02:30.000-DFOT-2K_IMG1.fits 238.912388067513 11.175584405735421 R 	 astrometry successful
S-2020APXX-2020-06-07T18:46:15.000-DFOT-2K_IMG1.fits 238.93118179187192 11.18165391089964 V 	 astrometry successful
S-2020APXX-2020-06-07T18:52:33.000-DFOT-2K_IMG1.fits 238.93088176174268 11.181104746397018 V 	 astrometry successful
B-2020APXX-2020-06-07T14:39:03.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:35:51.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:37:15.000-DFOT-2K_IMG1.fits calibration file only!
S-2020APXX-2020-06-07T16:24:17.000-DFOT-2K_IMG1.fits 185.36986208188833 28.231163344943216 B 	 astrometry successful
S-2020APXX-2020-06-08T21:54:22-DFOT-2K_IMG1.fits 338.14899169821047 11.734989590536967 V 	 astrometry successful
S-2020APXX-2020-06-08T15:58:46-DFOT-2K_IMG1.fits 185.35393037310513 28.25184256187771 I 	 astrometry successful
S-2020APXX-2020-06-08T16:19:07-DFOT-2K_IMG1.fits 185.3471536802783 28.248615194785334 R 	 astrometry successful
S-2020APXX-2020-06-08T17:13:12-DFOT-2K_IMG1.fits 185.32893879475063 28.24144105968506 R 	 astrometry successful
S-2020APXX-2020-06-08T16:41:12-DFOT-2K_IMG1.fits 185.33947714819976 28.24564943930177 R 	 astrometry successful
S-2020APXX-2020-06-08T18:05:42-DFOT-2K_IMG1.fits 238.9199594119695 11.189609694838495 B 	 astrometry successful
S-2020APXX-2020-06-08T17:58:44-DFOT-2K_IMG1.fits 238.91990337092335 11.189875997710132 R 	 astrometry successful
S-2020APXX-2020-06-08T18:16:07-DFOT-2K_IMG1.fits 238.9197502078431 11.188703025004358 R 	 astrometry successful
S-2020APXX-2020-06-08T18:27:02-DFOT-2K_IMG1.fits 238.91985747927075 11.18802054836478 R 	 astrometry successful
S-2020APXX-2020-06-08T18:38:35-DFOT-2K_IMG1.fits 238.91965434270818 11.187256415841206 R 	 astrometry successful
S-2020APXX-2020-06-08T19:10:11-DFOT-2K_IMG1.fits 238.9212619021547 11.192335351811929 R 	 astrometry successful
S-2020APXX-2020-06-08T19:20:35-DFOT-2K_IMG1.fits 238.91913775509022 11.191686268592697 R 	 astrometry successful
S-2020APXX-2020-06-08T19:30:34-DFOT-2K_IMG1.fits 238.91742050235112 11.191184600533928 R 	 astrometry successful
S-2020APXX-2020-06-08T19:40:46-DFOT-2K_IMG1.fits 238.91484088309426 11.190435983832476 R 	 astrometry successful
S-2020APXX-2020-06-08T19:51:01-DFOT-2K_IMG1.fits 238.91221580779174 11.189817792306027 R 	 astrometry successful
S-2020APXX-2020-06-08T20:00:45-DFOT-2K_IMG1.fits 238.91014247175045 11.189043484437791 R 	 astrometry successful
S-2020APXX-2020-06-08T20:10:38-DFOT-2K_IMG1.fits 238.90752160886507 11.188115265546958 R 	 astrometry successful
S-2020APXX-2020-06-08T20:20:23-DFOT-2K_IMG1.fits 238.90484999527257 11.187252336438757 R 	 astrometry successful
S-2020APXX-2020-06-08T20:30:47-DFOT-2K_IMG1.fits 238.90222761635002 11.186420673371 R 	 astrometry successful
S-2020APXX-2020-06-08T20:40:33-DFOT-2K_IMG1.fits 238.89975209858335 11.185726266700726 R 	 astrometry successful
S-2020APXX-2020-06-08T20:50:16-DFOT-2K_IMG1.fits 238.897784213487 11.184819166892305 R 	 astrometry successful
S-2020APXX-2020-06-08T21:00:19-DFOT-2K_IMG1.fits 238.89564234857022 11.183859257031301 R 	 astrometry successful
S-2020APXX-2020-06-08T21:16:06-DFOT-2K_IMG1.fits 238.89270463157646 11.182048267097578 R 	 astrometry successful
S-2020APXX-2020-06-08T18:13:18-DFOT-2K_IMG1.fits 238.91968785585073 11.188992797850068 V 	 astrometry successful
S-2020APXX-2020-06-08T18:24:18-DFOT-2K_IMG1.fits 238.91982304988744 11.188322219624405 V 	 astrometry successful
S-2020APXX-2020-06-08T18:35:38-DFOT-2K_IMG1.fits 238.9197054834414 11.187577912959863 V 	 astrometry successful
S-2020APXX-2020-06-08T19:07:23-DFOT-2K_IMG1.fits 238.92172356752704 11.192577877638547 V 	 astrometry successful
S-2020APXX-2020-06-08T19:17:54-DFOT-2K_IMG1.fits 238.91959046768025 11.191970272546598 V 	 astrometry successful
S-2020APXX-2020-06-08T19:22:56-DFOT-2K_IMG1.fits 238.9188120807383 11.191721968058797 V 	 astrometry successful
S-2020APXX-2020-06-08T19:33:07-DFOT-2K_IMG1.fits 238.9166046724045 11.191027412327612 V 	 astrometry successful
S-2020APXX-2020-06-08T19:43:28-DFOT-2K_IMG1.fits 238.91403014826926 11.190364225738724 V 	 astrometry successful
S-2020APXX-2020-06-08T19:48:20-DFOT-2K_IMG1.fits 238.91255040026763 11.190065806577627 V 	 astrometry successful
S-2020APXX-2020-06-08T19:58:04-DFOT-2K_IMG1.fits 238.91069705923437 11.18935043811386 V 	 astrometry successful
S-2020APXX-2020-06-08T20:02:57-DFOT-2K_IMG1.fits 238.90941058968025 11.188894512676177 V 	 astrometry successful
S-2020APXX-2020-06-08T20:12:50-DFOT-2K_IMG1.fits 238.90666212575056 11.187975827082722 V 	 astrometry successful
S-2020APXX-2020-06-08T20:22:33-DFOT-2K_IMG1.fits 238.904067744773 11.187116032386877 V 	 astrometry successful
S-2020APXX-2020-06-08T20:27:59-DFOT-2K_IMG1.fits 238.90279345731736 11.186698840266958 V 	 astrometry successful
